6.17E-01,5.56E-01,6.18E-01,5.24E-01,4.99E-01,5.18E-01,6.69E-01,6.18E-01,7.03E-01,1,800,,0.093066667,0.0516,0.056266667,0.062066667,0.1006,0.084733333
7.55E-01,6.10E-01,7.75E-01,7.06E-01,5.22E-01,7.36E-01,8.11E-01,7.04E-01,8.16E-01,2,1600,,0.049733333,0.055933333,0.0884,0.093933333,0.0397,0.040966667
9.38E-01,9.26E-01,9.47E-01,8.98E-01,8.95E-01,9.20E-01,9.63E-01,9.58E-01,9.70E-01,3,2400,,0.039566667,0.025433333,0.030366667,0.031966667,0.026566667,0.023766667
8.55E-01,7.60E-01,8.72E-01,8.16E-01,6.97E-01,8.30E-01,8.98E-01,8.37E-01,9.21E-01,4,3200,,0.039433333,0.043233333,0.062966667,0.077033333,0.041666667,0.049333333
9.23E-01,9.16E-01,9.13E-01,8.92E-01,8.77E-01,8.41E-01,9.65E-01,9.59E-01,9.47E-01,5,4000,,0.031566667,0.0421,0.039766667,0.0429,0.071866667,0.0338
8.71E-01,6.68E-01,8.72E-01,8.35E-01,6.23E-01,8.31E-01,9.07E-01,7.18E-01,9.21E-01,6,4800,,0.036533333,0.036133333,0.0446,0.0504,0.0409,0.0491
9.01E-01,9.14E-01,9.11E-01,8.58E-01,8.91E-01,8.78E-01,9.32E-01,9.38E-01,9.42E-01,7,5600,,0.043033333,0.030633333,0.023066667,0.024266667,0.0334,0.031266667
9.33E-01,9.49E-01,9.53E-01,9.09E-01,9.35E-01,9.34E-01,9.55E-01,9.78E-01,9.70E-01,8,6400,,0.0237,0.0223,0.014133333,0.028866667,0.0198,0.016533333
9.13E-01,9.17E-01,9.17E-01,8.71E-01,8.79E-01,8.90E-01,9.46E-01,9.60E-01,9.47E-01,9,7200,,0.042566667,0.032433333,0.037766667,0.043233333,0.027333333,0.030333333
8.58E-01,8.16E-01,8.67E-01,8.26E-01,7.60E-01,8.34E-01,8.88E-01,8.74E-01,8.93E-01,10,8000,,0.032466667,0.029866667,0.055766667,0.058566667,0.033333333,0.025333333
